,Playername,Playerposition,Teamname,2019completed1-39,2019attempted1-39,2019completed40-49,2019attempted40-49,2019completed50+,2019attempted50+,2019completedtot,2019attemptedtot,2019completedxp,2019attemptedxp,2019fpts,2020completed1-39,2020attempted1-39,2020completed40-49,2020attempted40-49,2020completed50+,2020attempted50+,2020completedtot,2020attemptedtot,2020completedxp,2020attemptedxp,2020fpts
0,Harrison Butker,K,Chiefs,18.0,19.0,13.0,13.0,3.0,6.0,34.0,38.0,45.0,48.0,162.0,16.0,16.0,8.0,10.0,3.0,5.0,26.0,31.0,49.0,51.0,138.35
1,Wil Lutz,K,Saints,16.0,16.0,13.0,15.0,3.0,5.0,32.0,36.0,48.0,49.0,159.0,16.0,16.0,8.0,10.0,3.0,5.0,27.0,31.0,46.0,48.0,136.7
2,Justin Tucker,K,Ravens,17.0,17.0,10.0,11.0,1.0,1.0,28.0,29.0,57.0,59.0,152.0,16.0,16.0,8.0,10.0,3.0,5.0,27.0,30.0,43.0,44.0,134.67
3,Matt Prater,K,Lions,13.0,14.0,6.0,9.0,7.0,8.0,26.0,31.0,35.0,36.0,128.0,16.0,17.0,8.0,10.0,3.0,5.0,27.0,32.0,38.0,40.0,130.3
4,Robbie Gould,K,49ers,17.0,19.0,6.0,8.0,0.0,4.0,23.0,31.0,41.0,42.0,108.0,16.0,17.0,8.0,10.0,3.0,5.0,26.0,32.0,39.0,42.0,126.08
5,Chris Boswell,K,Steelers,19.0,19.0,9.0,10.0,1.0,2.0,29.0,31.0,28.0,28.0,124.0,16.0,16.0,7.0,10.0,3.0,5.0,26.0,31.0,38.0,40.0,124.72
6,Younghoe Koo,K,Falcons,15.0,16.0,7.0,9.0,1.0,1.0,23.0,26.0,15.0,16.0,90.0,16.0,17.0,8.0,10.0,3.0,5.0,27.0,32.0,35.0,38.0,124.67
7,Austin Seibert,K,Browns,15.0,15.0,9.0,12.0,1.0,2.0,25.0,29.0,30.0,35.0,112.0,15.0,16.0,7.0,10.0,3.0,5.0,26.0,31.0,38.0,41.0,124.46
8,Matt Gay,K,Buccaneers,11.0,13.0,11.0,14.0,5.0,8.0,27.0,35.0,43.0,48.0,137.0,15.0,16.0,7.0,10.0,3.0,5.0,25.0,31.0,41.0,44.0,124.15
9,Chase McLaughlin,K,Colts,10.0,10.0,5.0,10.0,3.0,3.0,18.0,23.0,26.0,26.0,86.0,16.0,17.0,8.0,10.0,3.0,5.0,26.0,32.0,37.0,41.0,124.05
10,Greg Zuerlein,K,Cowboys,14.0,15.0,5.0,11.0,5.0,7.0,24.0,33.0,42.0,42.0,120.0,15.0,17.0,7.0,10.0,3.0,5.0,26.0,32.0,40.0,44.0,123.99
11,Sam Sloman,K,Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,8.0,10.0,3.0,5.0,27.0,33.0,35.0,38.0,123.92
12,Mason Crosby,K,Packers,14.0,14.0,7.0,8.0,1.0,2.0,22.0,24.0,40.0,41.0,113.0,15.0,16.0,7.0,9.0,3.0,4.0,25.0,29.0,40.0,42.0,123.46
13,Jake Elliott,K,Eagles,15.0,15.0,5.0,7.0,2.0,4.0,22.0,26.0,35.0,37.0,104.0,15.0,16.0,7.0,10.0,3.0,5.0,26.0,30.0,38.0,40.0,123.3
14,Josh Lambo,K,Jaguars,21.0,21.0,8.0,9.0,4.0,4.0,33.0,34.0,19.0,20.0,133.0,16.0,17.0,8.0,10.0,3.0,5.0,28.0,31.0,27.0,28.0,122.04
15,Zane Gonzalez,K,Cardinals,24.0,25.0,5.0,8.0,2.0,2.0,31.0,35.0,34.0,35.0,132.0,15.0,16.0,7.0,10.0,3.0,5.0,25.0,31.0,39.0,42.0,121.21
