,Playername,Teamname,Playerposition,2019tar,2019rec,2019recyds,2019avgrecyds,2019rectd,2019rushcar,2019rushyds,2019rushtd,2019fpts,2020tar,2020rec,2020recyds,2020avgrecyds,2020rectd,2020rushcar,2020rushyds,2020rushtd,2020fpts
0,Travis Kelce,Chiefs,TE,136.0,97.0,1229.0,12.7,5.0,1.0,4.0,1.0,254.3,124.0,88.0,1092.0,12.4,9.0,2.0,6.0,0.0,251.34
1,George Kittle,49ers,TE,107.0,85.0,1053.0,12.4,5.0,5.0,22.0,0.0,222.5,116.0,84.0,1035.0,12.3,7.0,5.0,17.0,0.0,231.77
2,Zach Ertz,Eagles,TE,135.0,88.0,916.0,10.4,6.0,0.0,0.0,0.0,215.6,117.0,78.0,821.0,10.5,7.0,0.0,0.0,0.0,201.16
3,Mark Andrews,Ravens,TE,98.0,64.0,852.0,13.3,10.0,0.0,0.0,0.0,207.2,103.0,66.0,878.0,13.4,8.0,0.0,0.0,0.0,199.44
4,Darren Waller,Raiders,TE,117.0,90.0,1145.0,12.7,3.0,2.0,5.0,0.0,221.0,102.0,75.0,869.0,11.6,5.0,0.0,0.0,0.0,192.05
5,Evan Engram,Giants,TE,68.0,44.0,467.0,10.6,3.0,3.0,7.0,0.0,109.4,98.0,63.0,688.0,10.8,5.0,4.0,13.0,0.0,167.68
6,Tyler Higbee,Rams,TE,89.0,69.0,734.0,10.6,3.0,0.0,0.0,0.0,160.4,93.0,64.0,704.0,10.9,5.0,0.0,0.0,0.0,162.76
7,Jared Cook,Saints,TE,65.0,43.0,705.0,16.4,9.0,0.0,0.0,0.0,167.5,71.0,46.0,656.0,14.2,6.0,0.0,0.0,0.0,149.77
8,Rob Gronkowski,Buccaneers,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,52.0,694.0,13.5,5.0,0.0,0.0,0.0,149.71
9,Hunter Henry,Chargers,TE,76.0,55.0,652.0,11.9,5.0,0.0,0.0,0.0,150.2,82.0,54.0,650.0,12.0,4.0,0.0,0.0,0.0,145.51
10,Hayden Hurst,Falcons,TE,39.0,30.0,349.0,11.6,2.0,0.0,0.0,0.0,76.9,79.0,54.0,623.0,11.5,4.0,0.0,0.0,0.0,142.84
11,T.J. Hockenson,Lions,TE,59.0,32.0,367.0,11.5,2.0,0.0,0.0,0.0,80.7,83.0,54.0,621.0,11.5,4.0,0.0,0.0,0.0,142.67
12,Noah Fant,Broncos,TE,66.0,40.0,562.0,14.1,3.0,3.0,-12.0,0.0,111.0,80.0,54.0,614.0,11.4,4.0,2.0,7.0,0.0,141.64
13,Austin Hooper,Browns,TE,97.0,75.0,787.0,10.5,6.0,0.0,0.0,0.0,191.7,66.0,49.0,518.0,10.7,5.0,0.0,0.0,0.0,129.96
14,Jack Doyle,Colts,TE,72.0,43.0,448.0,10.4,4.0,0.0,0.0,0.0,111.8,73.0,50.0,521.0,10.5,5.0,0.0,0.0,0.0,129.83
