,PLAYER NAME,PLAYER POSITION,TEAM NAME,2019 COMPLETED 1-39,2019 ATTEMPTED 1-39,2019 COMPLETED 40-49,2019 ATTEMPTED 40-49,2019 COMPLETED 50+,2019 ATTEMPTED 50+,2019 COMPLETED TOT,2019 ATTEMPTED TOT,2019 COMPLETED XP,2019 ATTEMPTED XP,2019 FPTS,2020 COMPLETED 1-39,2020 ATTEMPTED 1-39,2020 COMPLETED 40-49,2020 ATTEMPTED 40-49,2020 COMPLETED 50+,2020 ATTEMPTED 50+,2020 COMPLETED TOT,2020 ATTEMPTED TOT,2020 COMPLETED XP,2020 ATTEMPTED XP,2020 FPTS,2020 OUTLOOK
1,Harrison Butker,K,Chiefs,18.0,19.0,13.0,13.0,3.0,6.0,34.0,38.0,45.0,48.0,162.0,16.0,16.0,8.0,10.0,3.0,5.0,26.0,31.0,49.0,51.0,138.35,"Butker earned the nickname 'Butt kicker' from his coach Andy Reid during a rookie season in which he finished seventh at the position in fantasy points. He progressed to fifth place in 2018 before pacing the position in total fantasy points and top-10 weeks (11) last season. Butler led the NFL in both attempts (38) and conversions (34) in 2019. In fact, the Chiefs have finished top-nine in field goal attempts in four of the past five seasons. Kansas City's elite offense should help Butker sustain top-end fantasy production."
2,Wil Lutz,K,Saints,16.0,16.0,13.0,15.0,3.0,5.0,32.0,36.0,48.0,49.0,159.0,16.0,16.0,8.0,10.0,3.0,5.0,27.0,31.0,46.0,48.0,136.7,"Lutz has emerged as one of the 'safest' bets at kicker with four consecutive top-seven fantasy campaigns to begin his career. That includes a pair of top-three campaigns during each of the past two seasons. Only Harrison Butker outscored him last season, and Lutz actually matched him with a league-high 11 top-10 fantasy weeks. Not just a product of opportunity, Lutz's distance-adjusted field goal percentage is third best in the league over the past two seasons. The high-scoring Saints kicker is a top fantasy option."
3,Justin Tucker,K,Ravens,17.0,17.0,10.0,11.0,1.0,1.0,28.0,29.0,57.0,59.0,152.0,16.0,16.0,8.0,10.0,3.0,5.0,27.0,30.0,43.0,44.0,134.67,"It doesn't get much more volatile than kickers in fantasy football, but Tucker remains one of the exceptions. The opera-singing superstar has finished no lower than 11th in fantasy points during his eight seasons in the league, which includes four-consecutive top-four finishes. He has accomplished that even with the Ravens ranking 20th in field goal attempts last season (the team's first finish lower than 12th since 2010), though they were first in extra point attempts. Tucker has nailed a league-best 91.3% (168 of 184) of his field goals and a league-best 98.4% (188 of 191) of extra points since 2015. The league's best kicker working in a high-scoring offense, Tucker should be the first kicker drafted."
4,Matt Prater,K,Lions,13.0,14.0,6.0,9.0,7.0,8.0,26.0,31.0,35.0,36.0,128.0,16.0,17.0,8.0,10.0,3.0,5.0,27.0,32.0,38.0,40.0,130.3,"Prater just continues to get the job done. Five of his past eight seasons have resulted in a top-10 fantasy campaign, including three of the past four. Once adjusted for distance, Prater trails only Justin Tucker in field goal accuracy over the past five seasons. He has been cash money from deep, converting on 47 of 61 attempts from 50-plus yards over the past decade; that 77.0% rate is tops in the league during that span. Prater is entering his age-36 season but remains a solid fantasy starter in a Lions offense that figures to improve with a healthy Matthew Stafford."
5,Robbie Gould,K,49ers,17.0,19.0,6.0,8.0,0.0,4.0,23.0,31.0,41.0,42.0,108.0,16.0,17.0,8.0,10.0,3.0,5.0,26.0,32.0,39.0,42.0,126.08,"Gould is back with the NFC Champion 49ers after a 2019 campaign that saw him stumble to 17th in fantasy points. That was quite the step back for a player who had finished his previous three full seasons as a top-seven fantasy kicker. It's fair to wonder if age is becoming a factor for the 37-year-old, as last season's 74.2% field goal percentage was the worst of his career, though perhaps it was a fluke after he paced the league at 96.5% over the previous three seasons. Despite the down year, Gould should be viewed as a solid fantasy starter in a Niners' offense that has ranked no lower than seventh in field goal attempts in each of the past three seasons."
6,Chris Boswell,K,Steelers,19.0,19.0,9.0,10.0,1.0,2.0,29.0,31.0,28.0,28.0,124.0,16.0,16.0,7.0,10.0,3.0,5.0,26.0,31.0,38.0,40.0,124.72,"Boswell is the epitome of kickers in fantasy football, having finished 22nd or worse twice and 10th or better twice during the past four seasons. That includes a 10th-place finish in 2019 in which the Steelers' kicker managed nine top-10 weeks (fifth most). Boswell didn't miss an extra point and converted on 93.5% of 31 field goal attempts last season, which was third best in the league. Boswell has been an above-average kicker in all four of his healthy NFL seasons and, especially with Ben Roethlisberger back, the 29-year-old can be viewed as a starter in fantasy."
7,Younghoe Koo,K,Falcons,15.0,16.0,7.0,9.0,1.0,1.0,23.0,26.0,15.0,16.0,90.0,16.0,17.0,8.0,10.0,3.0,5.0,27.0,32.0,35.0,38.0,124.67,No outlook available.
8,Austin Seibert,K,Browns,15.0,15.0,9.0,12.0,1.0,2.0,25.0,29.0,30.0,35.0,112.0,15.0,16.0,7.0,10.0,3.0,5.0,26.0,31.0,38.0,41.0,124.46,No outlook available.
9,Matt Gay,K,Buccaneers,11.0,13.0,11.0,14.0,5.0,8.0,27.0,35.0,43.0,48.0,137.0,15.0,16.0,7.0,10.0,3.0,5.0,25.0,31.0,41.0,44.0,124.15,"The Buccaneers selected Gay in the fifth round of the 2019 draft, and the ex-Utah kicker proceeded to post the position's fourth most fantasy points. His 10 top-10 fantasy weeks also ranked fourth. The red flag here is that Gay's production was volume based, as his 35 field goal attempts tied for fourth and his 48 extra points attempts ranked third. He ranked near the bottom of the league in both field goal (77.1%) and extra point (89.6%) conversion rate. Perhaps Gay's accuracy will improve in his second season, and Tampa Bay's offense should allow plenty of opportunities with Tom Brady under center. Gay is a borderline fantasy starter."
10,Chase McLaughlin,K,Colts,10.0,10.0,5.0,10.0,3.0,3.0,18.0,23.0,26.0,26.0,86.0,16.0,17.0,8.0,10.0,3.0,5.0,26.0,32.0,37.0,41.0,124.05,No outlook available.
